Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2024-11-24,1296,59,Male,22.88,4.39,5.5,3,26,7,31,7.509373574424391,10,3,6
2024-09-20,2118,58,Female,21.33,3.2,5.87,2,49,193,130,5.676153794500257,4,7,9
2024-07-30,5760,47,Female,21.17,2.15,4.98,10,22,275,1,9.548078696370563,2,9,4
2024-08-28,4724,53,Other,23.88,6.39,6.51,8,65,30,137,9.783547395115576,10,10,7
2024-05-10,5511,37,Female,20.67,2.32,5.65,2,83,60,124,8.195490766861994,6,2,3
2024-09-05,9664,38,Female,22.28,4.13,5.85,6,9,11,6,11.837874678190879,10,2,10
2024-09-27,7651,50,Female,20.77,2.62,5.86,1,71,75,122,7.512331910569183,3,9,9
2024-02-01,4083,30,Male,22.08,3.5,5.42,5,88,85,38,9.054198749222042,4,4,5
2024-04-14,5673,24,Male,23.27,4.81,5.55,7,74,289,160,9.861787323306451,7,9,6
2024-07-04,4937,32,Female,22.68,5.61,6.93,7,16,264,113,4.844109171209609,4,3,1
2024-04-04,4397,27,Female,21.2,3.92,6.72,6,25,258,51,7.2738038415343675,1,4,10
2024-09-06,1331,31,Male,23.7,8.21,8.51,7,9,114,56,7.958627652971361,2,10,5
2024-11-01,3575,59,Male,21.35,3.51,6.16,2,38,72,146,5.373679911789505,9,2,7
2024-03-25,5419,42,Other,23.48,4.62,5.13,10,60,99,50,8.16146348585915,2,6,5
2024-07-15,9533,22,Other,23.13,7.09,7.95,10,79,124,60,9.158848347437814,6,1,5
2024-07-09,7010,42,Other,22.82,7.44,8.62,8,47,287,119,9.652398418262615,3,10,2
2024-03-10,3218,33,Other,20.3,1.43,5.13,1,40,80,174,4.730013272952385,6,7,3
2024-11-13,1442,18,Female,21.65,3.35,5.7,7,56,133,128,5.888063442589696,3,5,8
2024-10-07,8862,36,Male,20.15,2.09,5.94,1,70,16,121,6.642461500455028,6,1,2
2024-10-19,2233,43,Male,21.25,5.54,8.29,8,79,266,133,4.02273722931178,1,2,5
2024-01-13,1740,43,Female,20.0,0.79,4.79,2,9,127,6,10.0860744670956,5,1,4
2024-10-08,3770,29,Male,21.95,6.47,8.52,2,6,34,14,6.799163709179189,3,9,10
2024-02-28,6370,32,Female,22.08,2.61,4.52,8,20,70,120,6.594006990815765,5,5,4
2024-03-26,7929,52,Male,21.82,5.62,7.8,2,12,53,142,9.355296514029147,5,5,5
2024-10-17,2715,40,Female,21.95,5.56,7.61,1,63,153,47,6.014517616073054,8,7,9
2024-01-08,2151,48,Other,21.18,1.79,4.61,3,62,73,166,8.83841409475171,5,9,7
2024-06-30,4705,31,Other,22.47,5.91,7.44,9,47,210,94,5.128877186661194,1,2,8
2024-09-21,4718,33,Other,22.08,5.52,7.44,10,41,12,139,8.083141770789652,10,4,2
2024-06-12,5187,41,Male,20.98,5.69,8.71,3,39,53,129,5.662165035517827,7,10,9
2024-07-08,6759,39,Other,20.18,3.61,7.43,6,37,242,18,10.066420937684148,3,3,7
2024-06-18,4897,35,Other,21.98,3.98,5.99,7,88,57,62,7.959862357699688,7,9,8
2024-03-12,3980,47,Male,22.87,4.0,5.13,5,39,61,68,10.42460513870196,10,2,4
2024-03-12,9650,34,Female,20.93,4.31,7.38,7,89,30,111,10.489300831033058,8,7,2
2024-04-17,2421,33,Other,23.13,6.08,6.95,1,11,127,69,6.784215705509754,9,5,6
2024-02-28,5952,41,Male,23.85,4.4,4.55,5,84,165,168,10.31891696828431,7,6,3
2024-03-05,4038,47,Male,22.28,5.69,7.4,2,41,138,26,8.001851831406416,7,8,3
2024-01-18,4660,41,Other,22.18,6.83,8.65,6,43,91,76,8.760370759390089,3,7,6
2024-10-06,2618,53,Other,20.78,4.8,8.02,6,39,220,151,10.45768797140334,5,5,6
2024-06-18,3422,43,Female,22.47,4.01,5.55,7,36,52,17,8.077785372828522,6,1,4
2024-08-30,3347,52,Other,22.98,8.26,9.28,8,79,130,141,9.043181850198614,10,6,10
2024-06-16,2074,22,Male,23.25,4.4,5.15,6,10,7,152,10.899473041129255,8,3,4
2024-05-07,6594,37,Other,22.43,3.97,5.53,9,24,233,43,9.512872651894593,8,1,2
2024-05-14,7999,30,Male,23.92,8.11,8.19,10,34,87,96,5.63020827352851,7,8,1
2024-06-30,4853,47,Male,22.43,5.99,7.56,3,5,299,17,4.445996787762624,4,8,10
2024-10-04,4065,56,Other,20.35,3.3,6.95,9,23,14,163,9.764691354965098,5,7,8
2024-03-16,3419,57,Male,23.87,9.06,9.19,1,33,67,87,8.444937237459223,7,1,9
2024-09-15,5075,32,Other,21.25,6.61,9.36,6,28,272,116,6.881297225710332,8,1,5
2024-02-20,5746,24,Female,22.07,3.31,5.24,9,20,98,147,6.8518133667823,3,7,5
2024-02-06,2478,43,Female,23.12,5.84,6.72,4,20,148,24,11.27644342749762,5,3,1
2024-02-12,9484,59,Other,23.22,8.15,8.94,4,33,75,96,8.686816979465346,5,6,8
2024-08-22,8971,55,Other,21.37,3.81,6.44,1,20,270,13,11.942646603557577,10,4,7
2024-04-02,9500,26,Male,20.92,5.38,8.46,7,41,259,132,7.585286986952016,9,9,6
2024-09-11,9705,20,Female,20.08,3.97,7.89,2,68,211,155,6.159789094843696,3,3,9
2024-04-09,1255,48,Male,20.9,5.77,8.87,9,68,14,174,6.477455666503611,3,6,4
2024-12-09,6790,28,Male,20.13,2.47,6.33,1,2,281,158,10.02247195608808,10,8,9
2024-11-15,9085,32,Other,20.92,4.62,7.7,4,46,86,52,7.388324617932065,2,10,3
2024-03-12,7170,46,Other,21.87,2.88,5.01,9,2,145,51,10.6728926661306,9,10,7
2024-10-01,9437,59,Female,20.53,3.75,7.21,3,66,142,138,8.8340761278954,8,5,4
2024-01-13,3504,51,Male,23.1,6.54,7.44,10,11,148,138,10.14373406247844,10,2,2
2024-10-07,9444,21,Other,21.25,6.52,9.27,2,34,274,7,11.688167486121706,3,6,7
2024-01-23,9401,36,Female,21.77,4.75,6.99,2,66,134,54,6.604026705009083,10,3,1
2024-06-04,6604,40,Male,20.7,2.08,5.38,1,53,27,3,9.188216214593623,7,5,7
2024-10-16,3400,59,Male,23.02,3.58,4.56,10,85,89,66,4.5052842253131145,8,4,3
2024-12-13,3280,27,Female,23.62,5.3,5.69,6,36,90,78,9.392467622029567,8,5,2
2024-12-29,3107,51,Female,23.87,8.08,8.21,3,71,32,43,9.532044366508757,5,9,4
2024-12-02,1916,19,Other,23.53,8.75,9.21,3,48,243,151,6.847747126657892,8,10,8
2024-10-02,8963,19,Male,22.12,4.75,6.63,3,22,253,14,4.43146066272697,3,9,4
2024-11-20,3808,36,Female,23.6,5.08,5.48,1,77,283,53,10.836939705214682,4,6,8
2024-07-09,3456,39,Other,22.48,6.34,7.86,9,25,234,149,4.560944365975917,5,5,9
2024-02-16,8380,48,Other,22.88,3.57,4.69,7,5,143,89,4.888506426253238,8,10,4
2024-04-25,1537,46,Other,22.12,2.7,4.58,10,34,226,95,6.7322086033709105,1,6,10
2024-08-11,7163,19,Other,21.0,2.29,5.29,3,43,231,5,7.846289345437818,2,6,8
2024-03-28,8187,31,Male,20.65,1.93,5.28,7,79,70,154,4.292163035050991,1,1,4
2024-01-07,2183,20,Other,20.38,5.85,9.46,8,86,53,37,6.414677287143161,6,8,1
2024-11-04,5791,44,Female,21.28,6.5,9.22,7,63,103,157,10.266693535396964,9,4,2
2024-12-21,1124,42,Female,23.58,7.75,8.16,3,41,273,120,9.220907213978828,10,5,1
2024-12-07,6302,34,Male,23.72,6.42,6.7,8,36,18,173,8.976235834016073,7,10,10
2024-08-19,4957,28,Female,20.12,3.44,7.33,7,17,174,113,4.034876639652643,10,10,1
2024-04-18,5457,42,Male,20.23,4.79,8.55,10,5,107,142,7.1946091711320825,4,2,8
2024-02-01,1883,26,Other,20.12,3.51,7.39,7,20,75,129,11.300673743398583,4,4,2
2024-02-17,9269,47,Male,23.18,6.45,7.27,10,49,257,54,10.21557110714017,6,10,8
2024-09-10,3776,49,Male,20.3,1.35,5.05,9,58,292,24,10.624346286194019,6,1,10
2024-03-27,2669,42,Other,21.98,3.02,5.04,4,5,62,37,8.87556237861823,4,8,8
2024-07-07,9711,57,Male,21.72,4.53,6.81,9,45,21,86,6.42762573159685,7,3,6
2024-05-12,7227,50,Female,20.37,0.89,4.53,7,37,292,67,4.212820508772511,6,5,2
2024-12-08,7645,32,Other,22.13,5.91,7.77,5,24,88,124,10.429081177229548,9,7,6
2024-05-29,3922,40,Male,23.47,7.01,7.54,6,29,19,32,8.434580784669244,4,6,7
2024-06-21,5970,26,Male,23.25,6.03,6.78,3,43,95,49,8.100661014777092,3,1,3
2024-03-04,7998,45,Other,23.87,5.19,5.33,1,39,179,57,4.378596241091371,2,1,9
2024-07-25,4653,34,Male,20.32,1.62,5.31,5,86,160,101,11.420028410372606,1,9,3
2024-09-25,7042,23,Other,21.53,5.03,7.49,3,22,137,50,10.358382038566212,7,4,4
2024-02-11,1730,51,Female,21.1,2.23,5.13,7,49,25,153,6.91119525196266,9,4,10
2024-08-24,4535,34,Female,20.18,1.74,5.56,8,20,277,17,6.054652596536469,9,3,6
2024-01-26,2885,45,Female,21.12,5.71,8.6,7,53,167,118,6.340871152317164,5,2,6
2024-03-02,5694,52,Other,22.87,7.43,8.56,8,69,193,140,11.442933263212236,9,2,1
2024-06-13,6546,39,Other,23.38,7.59,8.2,7,78,254,96,5.636034709542367,7,6,2
2024-08-14,1704,22,Male,20.88,6.28,9.4,3,20,151,127,4.2777292174711565,5,6,10
2024-05-31,3407,38,Male,23.98,9.04,9.05,7,21,161,119,8.181550192356296,3,7,10
2024-05-30,4909,33,Female,23.27,7.77,8.5,6,68,120,108,6.124875661331319,2,7,3
2024-04-21,3368,44,Female,23.3,7.02,7.72,7,46,257,112,11.04198395580451,1,6,10
2024-12-11,1759,37,Male,20.05,4.28,8.23,7,45,137,173,8.693852219118014,10,7,2
2024-10-30,2308,44,Female,23.98,7.15,7.17,10,68,20,151,9.063471043768358,8,9,5
2024-05-04,9961,19,Other,20.68,3.67,6.99,10,19,67,172,6.483184762366759,10,5,9
2024-10-31,5370,31,Male,23.57,8.17,8.6,1,71,64,108,6.2850127974686165,7,5,8
2024-01-28,6181,34,Male,23.03,6.26,7.23,3,47,135,140,4.046165290343744,1,9,9
2024-04-27,1665,34,Female,20.92,5.06,8.14,5,40,256,88,10.654065126417976,4,4,4
2024-01-10,4355,23,Other,23.18,6.37,7.19,3,45,73,94,11.014740255054065,4,8,3
2024-04-19,9561,20,Female,21.3,3.68,6.38,6,68,9,160,4.514553785548668,3,3,6
2024-01-24,7994,23,Female,20.72,1.68,4.97,3,67,32,55,10.581891888347451,3,6,9
2024-12-27,8170,37,Other,23.03,7.21,8.17,8,5,275,138,6.709146171582906,5,2,6
2024-02-04,7702,39,Male,21.28,4.02,6.74,5,20,13,90,4.338675940146427,7,3,10
2024-07-30,8762,44,Male,23.62,5.39,5.77,3,9,119,144,4.358011471409905,5,5,10
2024-01-14,2945,25,Male,22.25,4.66,6.41,5,55,104,131,6.322269418518083,8,1,4
2024-11-21,9015,46,Female,20.78,5.36,8.58,10,35,3,43,7.738858306652894,4,2,2
2024-10-03,2487,32,Female,20.07,4.95,8.88,6,66,35,160,7.960447565236679,8,8,5
2024-07-08,9287,43,Female,23.35,4.67,5.32,4,36,293,95,9.666592392623762,9,10,4
2024-06-29,6950,34,Other,20.43,2.18,5.75,6,15,4,81,7.698894273181867,6,1,6
2024-04-24,7406,31,Female,23.23,7.21,7.98,1,42,284,127,7.09194978291131,5,5,6
2024-03-10,7765,21,Male,22.4,5.26,6.86,3,89,175,170,8.833643838906433,1,9,5
2024-09-02,1143,28,Female,23.9,5.41,5.51,5,57,186,107,5.436869910618423,10,1,10
2024-07-29,6783,41,Other,21.77,6.31,8.55,5,31,105,95,7.545440601157276,7,8,10
2024-04-13,3567,32,Female,23.7,7.47,7.77,2,62,48,114,6.405245124485953,7,7,1
2024-07-17,1070,24,Other,20.15,2.35,6.2,5,52,253,100,9.757556571686699,9,8,6
2024-12-24,9440,44,Female,20.05,2.99,6.94,3,41,258,90,10.732125792496985,1,10,1
2024-12-15,2149,38,Male,22.62,3.55,4.93,6,56,19,112,4.474471158408774,7,3,2
2024-01-16,1605,55,Female,20.1,5.22,9.12,7,31,268,157,4.242713974546546,5,10,4
2024-07-28,4046,28,Female,20.78,2.77,5.98,5,83,251,117,5.189380509569457,6,2,7
2024-12-05,7324,31,Male,23.12,6.75,7.63,6,15,90,119,10.875476662668408,10,9,5
2024-08-06,4664,50,Other,21.68,5.49,7.81,4,64,131,67,7.661164928268322,1,9,3
2024-10-27,7147,22,Male,20.37,2.45,6.08,5,71,229,106,10.521441855759113,7,3,1
2024-09-21,2361,20,Female,20.2,4.46,8.26,6,86,237,15,8.026111207206515,4,4,8
2024-08-26,7724,23,Other,21.07,4.49,7.42,6,1,106,38,7.7177984246453715,8,5,2
2024-02-23,7895,29,Male,20.75,3.57,6.82,7,77,64,101,8.700099835414232,2,1,1
2024-03-24,9713,46,Female,20.88,3.36,6.48,10,12,46,102,10.657903532489826,6,5,10
2024-12-13,2612,29,Female,20.93,6.18,9.25,7,57,253,179,6.905060722075698,3,1,3
2024-03-15,1328,31,Other,20.63,1.49,4.86,3,35,219,171,5.275122125991369,5,7,7
2024-03-26,9722,18,Other,22.28,4.33,6.05,2,4,92,96,4.855358915038571,10,5,2
2024-12-06,5409,32,Male,22.18,5.35,7.17,10,32,167,14,7.21725105475174,7,2,1
2024-06-20,2295,39,Female,21.77,5.98,8.21,10,57,61,84,7.243231686807393,3,9,5
2024-01-18,4897,41,Other,21.05,3.33,6.28,8,73,65,167,5.7972856008405715,2,1,6
2024-08-24,7804,27,Other,20.18,0.78,4.6,7,23,117,33,7.921775797229927,9,5,2
2024-02-20,1633,56,Female,23.8,6.64,6.84,5,27,106,26,11.861505916730605,1,5,6
2024-10-08,9824,41,Other,23.33,5.23,5.89,3,47,120,12,7.0965385071303455,3,3,6
2024-12-02,6095,36,Male,21.23,3.21,5.97,7,73,66,2,11.346065343530451,10,3,8
2024-06-26,2954,41,Male,23.15,4.12,4.97,7,5,193,148,7.3307959903714535,3,1,7
2024-08-08,7196,54,Other,20.12,5.39,9.27,10,78,116,23,8.501510046325835,10,5,7
2024-11-17,2059,20,Male,23.35,4.44,5.09,10,44,43,90,8.63133226074174,6,3,3
2024-03-23,6452,43,Female,20.58,3.98,7.4,7,19,49,94,8.066493554213556,1,4,9
2024-10-02,9204,20,Female,21.28,3.85,6.56,3,0,89,151,11.737705654466147,3,2,5
2024-01-03,3738,57,Other,22.0,6.55,8.55,1,6,115,51,9.37513612509098,6,1,10
2024-05-31,5668,35,Female,20.27,2.06,5.79,8,57,177,100,4.139444364016367,3,4,7
2024-12-21,6912,28,Female,20.47,3.56,7.09,5,71,109,121,6.694552887739655,8,9,10
2024-09-18,8311,53,Other,22.72,4.78,6.07,5,5,274,17,9.812686126611627,5,9,3
2024-05-05,6291,48,Male,20.25,4.05,7.8,6,77,204,104,11.462232997501875,5,2,4
2024-05-09,6346,20,Female,23.3,5.01,5.71,1,16,271,8,8.604161735728992,9,7,9
2024-05-19,8720,32,Female,22.17,6.77,8.6,6,52,71,112,6.710409359416904,9,5,8
2024-05-26,5422,48,Female,23.22,8.69,9.48,5,80,108,120,8.338871603938571,4,9,4
2024-01-27,8111,49,Male,20.93,2.7,5.76,2,31,44,8,8.112246555806955,6,1,9
2024-09-17,9254,52,Male,21.13,2.63,5.5,4,77,216,24,10.317388910342046,7,7,10
2024-05-20,3755,53,Female,21.12,2.03,4.92,10,36,214,70,8.768241287598409,3,10,4
2024-12-27,2251,32,Male,21.33,5.23,7.89,3,28,115,178,7.80563262551245,9,1,2
2024-02-25,2126,45,Male,20.68,5.77,9.08,4,12,85,63,10.488122999456554,3,10,4
2024-04-15,1500,29,Male,20.27,1.19,4.92,7,56,219,70,11.231840072446726,10,5,7
2024-02-15,8758,55,Male,21.02,4.32,7.3,7,69,261,125,9.82708948880586,5,5,8
2024-08-18,4404,30,Other,23.95,7.03,7.08,3,37,287,24,7.34699764086278,1,8,2
2024-06-06,9656,57,Female,21.35,6.53,9.18,8,50,79,140,11.130261318622004,4,7,7
2024-10-30,1333,35,Other,23.28,7.43,8.15,10,8,281,27,10.897677126025911,4,9,3
2024-03-16,3292,49,Female,22.95,8.0,9.05,4,15,83,55,4.146707112085199,6,8,3
2024-06-06,3745,51,Female,21.72,3.28,5.56,2,47,159,112,8.83952650558204,9,10,3
2024-01-16,3401,18,Male,23.5,5.56,6.06,1,32,127,150,11.621323424786933,7,10,9
2024-02-14,9271,56,Male,21.27,2.76,5.49,8,23,115,12,6.31481928177797,8,5,4
2024-06-30,1033,45,Female,21.93,5.0,7.06,10,50,46,25,6.010461497137254,8,4,10
2024-07-20,2942,54,Male,23.3,6.74,7.44,1,26,133,73,8.399831891070914,6,5,2
2024-11-12,3673,28,Female,22.97,8.25,9.28,7,36,198,147,7.760767667612129,2,5,6
2024-10-13,9662,36,Other,23.88,8.93,9.05,3,47,162,159,7.83373005946813,7,9,3
2024-12-15,8824,59,Other,20.08,1.21,5.12,1,13,188,103,9.495506845333624,4,2,5
2024-01-14,3682,36,Other,21.13,6.33,9.2,3,43,67,47,10.103755109672186,6,4,1
2024-10-28,6386,48,Other,23.88,7.18,7.3,5,20,109,93,8.832871209206777,8,7,8
2024-11-23,2910,51,Other,22.25,7.31,9.06,7,75,218,149,6.161991000493713,1,2,1
2024-10-08,9772,50,Female,20.12,3.21,7.1,1,64,66,173,8.465073265025719,8,8,3
2024-02-08,8899,21,Male,23.2,6.0,6.8,5,54,228,19,8.19947267394774,2,10,6
2024-12-10,4835,25,Other,22.73,6.5,7.77,6,83,268,19,8.028615170708733,7,3,5
2024-11-05,7661,31,Female,22.9,6.02,7.12,2,26,262,130,6.073921083122161,2,10,9
2024-11-11,1974,41,Other,22.22,4.8,6.58,6,77,80,17,4.504757449465726,1,8,7
2024-10-14,4195,26,Other,21.85,4.26,6.41,10,62,272,48,6.150250385292833,2,4,7
2024-04-07,4980,40,Male,21.88,4.8,6.91,4,22,104,162,6.55694500406457,1,1,3
2024-08-09,7998,32,Other,20.22,1.98,5.76,1,17,255,159,11.664982363836904,2,1,7
2024-11-07,1362,30,Female,23.02,7.75,8.73,6,27,70,168,7.5210215723706115,9,4,4
2024-12-09,9275,48,Other,21.2,4.05,6.85,7,68,171,140,8.99937975830765,2,8,9
2024-11-03,7851,38,Female,22.23,5.12,6.89,4,87,71,27,7.336441889861645,6,3,1
2024-07-19,4832,52,Male,22.28,5.15,6.87,6,48,51,78,6.756495263903003,8,6,9
2024-09-12,7088,26,Male,21.48,2.9,5.42,5,14,177,121,7.754586376347761,6,8,2
2024-04-24,7601,34,Other,21.65,3.82,6.17,3,50,46,35,4.107383320961021,9,9,2
2024-03-05,4299,25,Male,22.85,6.94,8.09,5,26,274,22,5.873555404934503,3,3,8
2024-02-20,8529,22,Male,23.17,6.89,7.72,8,84,48,165,9.447428293148022,7,2,7
2024-06-05,7268,54,Male,20.82,2.77,5.96,10,2,172,7,4.147651352344181,2,9,1
2024-09-07,9172,18,Male,20.12,4.92,8.8,3,5,82,145,7.3525974650035275,9,7,10
2024-10-26,1106,53,Other,21.4,6.73,9.33,4,73,154,12,10.712393344634858,2,2,5
2024-10-06,6419,59,Female,23.13,3.69,4.56,8,29,277,80,9.452208239093203,7,1,1
2024-05-18,8493,37,Other,23.6,6.09,6.49,10,11,93,41,10.232751547054164,10,5,9
2024-06-03,2051,43,Other,23.8,8.45,8.65,1,57,182,80,9.9906197088319,9,1,9
2024-11-23,7980,23,Other,23.48,7.32,7.84,7,10,133,10,6.532770787301174,6,2,5
2024-04-08,2059,34,Female,21.1,5.29,8.19,8,66,285,65,9.707695586931997,9,2,3
2024-12-16,9702,30,Female,23.18,5.17,5.99,1,84,47,48,7.1149440830512045,8,8,2
2024-04-17,7176,40,Male,21.87,3.63,5.77,1,59,89,89,10.499649419351234,9,4,5
2024-05-25,3525,30,Female,21.3,2.63,5.33,9,49,13,133,10.24416460695685,7,6,10
2024-04-03,1296,47,Male,21.58,6.61,9.03,2,15,77,89,4.0642549110049835,2,4,1
2024-02-24,6069,57,Male,23.4,4.26,4.86,6,25,295,37,5.253674366103353,7,8,3
2024-08-18,4232,50,Female,21.15,5.74,8.59,4,37,123,148,6.920202432310584,1,6,9
2024-09-27,6739,20,Other,22.57,3.96,5.39,4,25,114,139,4.396997021948204,3,10,6
2024-08-20,5778,38,Other,22.78,3.94,5.15,5,84,187,171,11.145889177679575,5,7,9
2024-05-28,8155,51,Female,22.67,5.17,6.5,8,23,223,37,6.229709721129192,8,3,1
2024-11-26,4793,40,Female,22.28,3.67,5.38,9,46,19,108,4.579378502885478,4,8,4
2024-02-05,5993,45,Female,22.23,5.95,7.71,6,34,37,162,8.80820701990952,5,9,6
2024-08-08,5595,56,Female,23.07,5.05,5.98,9,77,266,156,11.263124803302663,8,8,7
2024-01-26,5899,56,Male,23.95,8.25,8.3,6,55,135,93,9.728747859919693,9,8,9
2024-01-25,6265,29,Other,22.73,7.64,8.9,10,73,101,168,5.34570881867368,5,5,9
2024-11-23,4238,57,Female,22.9,8.11,9.21,8,32,18,33,7.488332663303602,8,9,3
2024-11-02,6429,43,Male,21.45,4.44,6.99,4,18,6,156,7.317584946441025,5,1,8
2024-07-04,7825,29,Female,20.42,1.62,5.21,3,83,143,100,9.687437093983068,10,2,6
2024-10-05,2082,21,Other,21.93,5.09,7.16,9,87,232,54,9.116496784271686,8,7,9
2024-01-26,4646,26,Other,22.53,5.5,6.97,8,8,235,155,5.791249615307844,8,6,6
2024-07-14,6322,38,Female,21.57,4.98,7.41,5,29,212,37,9.987170849677945,6,8,2
2024-06-28,1796,55,Male,20.67,1.62,4.95,9,36,165,139,8.899916056776668,4,1,4
2024-07-19,3432,20,Other,22.33,7.16,8.83,6,82,86,166,4.584414214485284,7,2,1
2024-12-13,6267,57,Other,22.95,8.15,9.2,6,44,40,136,8.19853400291793,6,2,10
2024-05-21,4322,55,Female,23.58,8.61,9.03,8,45,235,47,6.297054697497146,1,7,8
2024-02-21,6164,54,Female,23.27,5.37,6.11,3,5,67,178,8.749500954696165,10,9,9
2024-01-13,3490,39,Female,23.58,4.54,4.96,4,71,192,76,6.601769530997074,2,6,7
2024-03-03,4090,44,Male,20.6,3.05,6.45,4,56,215,27,10.994372481777393,2,9,3
2024-07-14,9455,41,Other,22.95,4.97,6.02,6,85,63,11,8.197507296747819,5,5,2
2024-08-31,6467,58,Female,22.5,6.75,8.25,1,49,220,0,7.8015817556555955,10,6,2
2024-10-04,5648,29,Other,20.82,6.23,9.42,2,38,122,73,10.755410664960696,7,5,4
2024-07-06,5329,41,Female,20.42,5.08,8.66,10,9,16,1,9.696944450673083,9,7,10
2024-09-04,7261,26,Female,22.1,7.14,9.04,8,80,83,42,9.988517747629015,3,4,7
2024-10-22,6400,58,Other,20.63,1.85,5.22,1,80,97,61,5.808793549013537,2,8,6
2024-11-11,2897,19,Female,22.22,6.77,8.56,5,55,267,54,9.819178350767611,9,4,10
2024-02-05,2792,34,Other,21.78,4.13,6.34,3,33,226,176,4.751279718648241,2,7,9
2024-08-17,9369,42,Female,23.22,5.48,6.27,9,3,238,31,11.596817176269052,10,1,10
2024-07-07,4145,27,Other,23.55,4.88,5.33,8,64,126,32,9.072006139327904,9,5,2
2024-10-25,8000,30,Other,23.83,6.79,6.96,4,7,220,103,8.636887193826272,7,9,5
2024-09-05,5297,27,Male,23.0,7.26,8.26,10,52,237,18,6.71270090610144,1,8,5
2024-12-26,1191,36,Other,20.0,1.09,5.09,6,25,129,58,11.997085003403551,6,5,5
2024-10-13,9802,47,Female,22.23,6.77,8.53,4,76,299,169,7.950687525215387,2,3,9
2024-07-21,3517,59,Female,21.13,1.68,4.54,5,73,156,62,7.466005941566003,5,8,1
2024-09-01,9509,56,Female,20.8,4.52,7.72,5,69,159,10,11.53874806137086,7,7,2
2024-01-31,6643,33,Female,22.02,6.4,8.38,10,24,290,162,10.665675655282099,6,7,3
2024-08-10,2772,25,Female,21.05,1.83,4.78,4,19,121,136,9.579690137813815,6,9,4
2024-06-17,1058,58,Female,20.3,1.94,5.64,5,14,2,36,6.043426248368724,9,7,6
2024-07-31,1435,25,Female,23.0,7.5,8.5,1,68,221,147,5.058644448960731,7,2,2
2024-10-29,6901,48,Female,20.67,5.45,8.79,8,4,191,156,8.454387074985373,1,6,4
2024-03-19,2301,51,Male,23.4,7.26,7.86,10,81,77,55,6.9489652199863094,10,2,1
2024-05-14,8137,27,Male,20.03,2.78,6.75,3,69,131,17,4.646233710994749,4,6,4
2024-06-20,6682,36,Male,21.2,2.1,4.9,2,29,245,87,8.897672506057727,1,9,1
2024-11-25,2810,24,Male,22.38,6.22,7.84,10,86,179,115,7.9580579166864345,4,5,9
2024-04-17,3407,54,Male,22.9,3.43,4.53,8,24,114,171,8.284918254994654,10,7,2
2024-05-21,6902,33,Female,21.48,3.61,6.12,4,48,34,22,7.3623220804340415,6,3,3
2024-04-09,6587,20,Other,23.52,8.86,9.35,2,84,219,105,7.845927299277781,10,5,9
2024-03-27,5784,19,Other,22.82,5.07,6.26,10,14,234,74,6.800570498199623,9,4,9
2024-11-26,9027,18,Other,20.15,2.69,6.54,2,65,17,76,8.189379199991881,4,2,10
2024-06-26,7141,55,Other,23.15,4.35,5.2,1,21,95,121,7.585029595721276,4,4,10
2024-11-21,2672,38,Male,21.48,5.43,7.95,8,3,286,154,8.570911757353258,9,5,6
2024-09-17,5722,44,Male,22.58,6.07,7.48,7,71,270,164,6.057417088195418,6,3,9
2024-04-01,3686,48,Other,22.15,5.86,7.71,3,61,145,152,4.736779422324185,10,6,2
2024-11-30,9678,27,Male,22.85,4.32,5.47,10,12,46,150,9.6222630173278,4,4,1
2024-09-08,9130,38,Male,21.05,2.3,5.25,9,69,134,146,7.9143212600301,1,7,3
2024-04-18,9875,29,Female,20.45,2.29,5.84,4,37,186,169,9.565121725751489,8,9,2
2024-10-21,2064,54,Male,21.23,2.58,5.34,1,17,172,95,9.23697196637644,2,10,10
2024-06-12,6600,40,Male,21.38,2.42,5.04,7,80,229,124,10.50484037688675,5,2,2
2024-06-01,9244,38,Other,21.02,4.18,7.16,5,67,82,13,10.360699685282077,2,4,3
2024-09-21,7854,47,Male,22.72,4.0,5.28,8,8,245,35,7.76187967687425,3,2,3
2024-01-23,7247,24,Male,23.22,5.38,6.16,3,14,109,7,4.088377161702221,3,4,4
2024-01-06,4190,48,Female,22.23,4.78,6.55,3,27,288,139,8.55609495475537,8,9,5
2024-12-21,9046,29,Other,20.98,1.66,4.67,5,5,72,75,7.583539337417315,6,1,6
2024-10-16,2354,20,Female,21.08,4.4,7.32,4,20,257,89,9.505395493778106,10,7,10
2024-11-21,6083,47,Female,20.9,4.75,7.85,2,43,21,30,10.834141541260244,5,4,2
2024-10-01,8983,49,Other,20.17,4.45,8.28,2,44,195,163,6.017561291423346,3,10,8
2024-04-11,9277,31,Other,20.33,1.16,4.82,10,14,64,87,5.684313174702743,10,10,10
2024-08-31,2532,48,Other,21.25,4.96,7.71,3,30,245,89,9.37042810474813,8,3,10
2024-03-26,3493,21,Male,23.0,4.44,5.44,4,74,260,177,6.414712961980124,2,4,5
2024-10-12,8680,39,Female,21.07,6.14,9.08,8,88,15,53,5.132390807902587,4,2,2
2024-07-10,1662,44,Male,20.78,4.62,7.84,8,2,272,49,4.815470443060868,7,6,8
